"","celltype","nUMI"
"1864","alpha",24904.7290734271
"1865","alpha",13165.5207032331
"1866","duct",27161.9939451109
"1867","delta",16898.7881098142
"1868","beta",100440.738265913
"1869","alpha",37966.0499755806
"1870","delta",16833.8367385442
"1871","acinar",34050.8979168026
"1872","alpha",27869.2595413436
"1873","alpha",27001.0165252872
"1874","alpha",26585.8138545746
"1875","delta",19071.6985259546
"1876","alpha",71989.3198857995
"1877","alpha",11525.6301987746
"1878","alpha",15976.8975970822
"1879","delta",15302.6741046883
"1880","duct",18763.2388829249
"1881","delta",12538.3347951756
"1882","alpha",15182.2082950409
"1883","mesenchymal",18791.6764568174
"1884","duct",14586.1240751138
"1885","alpha",39595.9865224485
"1886","beta",25266.4483142373
"1887","beta",12146.5146015082
"1888","mesenchymal",34478.3999831664
"1889","alpha",15931.1350707628
"1890","alpha",22921.8363590408
"1891","duct",36515.9649899212
"1892","alpha",25289.6409157782
"1893","alpha",21417.7719719162
"1894","alpha",25603.0665197655
"1895","duct",21825.9649572927
"1896","alpha",20176.5641642723
"1897","duct",38075.5027547711
"1898","alpha",69314.4986579059
"1899","alpha",18154.7619612233
"1900","beta",24714.7087337775
"1901","alpha",36099.8064772688
"1902","alpha",33551.8179873642
"1903","alpha",39592.4235911141
"1904","alpha",36496.8531895209
"1905","duct",38910.0124209494
"1906","alpha",14320.7979114983
"1907","mesenchymal",44720.0079503247
"1908","duct",79646.1372792268
"1909","delta",40375.8914123723
"1910","alpha",27208.1685982043
"1911","alpha",72001.6043253794
"1912","acinar",35524.471691199
"1913","alpha",50026.3441413091
"1914","mesenchymal",33133.8921418855
"1915","duct",22450.1458814176
"1916","alpha",81141.2007697599
"1917","beta",16171.3160916068
"1918","alpha",18067.0378843996
"1919","alpha",33107.3648000917
"1920","beta",28718.8103139267
"1921","alpha",42277.528470348
"1922","alpha",17061.4225253008
"1923","alpha",18402.8892790032
"1924","beta",22625.0845145854
"1925","alpha",16748.2710487927
"1926","mesenchymal",41743.2748260468
"1927","beta",25190.0512855697
"1928","delta",20936.6873617076
"1929","acinar",26791.6527159964
"1930","acinar",87964.1836535352
"1931","beta",15383.2205193022
"1932","alpha",21624.3029217948
"1933","alpha",47517.856715099
"1934","alpha",38817.6189608372
"1935","alpha",21833.1317968204
"1936","beta",14207.8044277591
"1937","duct",28891.287098625
"1938","duct",59126.8811204279
"1939","duct",67712.2669793877
"1940","alpha",29494.3450703032
"1941","mesenchymal",23433.1983986868
"1942","mesenchymal",21827.6287958705
"1943","duct",6976.05160603921
"1944","beta",10044.6389624893
"1945","alpha",16645.8664361774
"1946","duct",15886.2097679644
"1947","alpha",12582.2799976894
"1948","delta",30570.9583460842
"1949","delta",12161.6344568196
"1950","alpha",8083.97254067427
"1951","alpha",13549.428074995
"1952","mesenchymal",20027.0665239842
"1953","delta",21768.1918539464
"1954","delta",26348.1556221374
"1955","alpha",15874.7069915876
"1956","beta",12438.3082342269
"1957","delta",18510.7512473036
"1958","alpha",22818.0381860131
"1959","alpha",8986.22992424005
"1960","alpha",10522.2722366049
"1961","alpha",14806.7655014881
"1962","alpha",10650.5578296891
"1963","mesenchymal",32730.3002905107
"1964","duct",20099.2798985324
"1965","beta",11590.5305345482
"1966","alpha",11908.7928940934
"1967","duct",24075.0599228811
"1968","delta",12101.7044367402
"1969","acinar",42680.6392127546
"1970","alpha",17902.3791978762
"1971","duct",24492.1409285176
"1972","alpha",14420.0643632377
"1973","beta",9741.0670891468
"1974","duct",12090.9608224788
"1975","duct",25304.9278617059
"1976","alpha",19419.0379406017
"1977","duct",8643.92678308833
"1978","acinar",33848.1095295374
"1979","duct",25878.2010898968
"1980","alpha",7868.24531541145
"1981","beta",19290.1106514616
"1982","duct",20406.5945653465
"1983","alpha",10343.534435549
"1984","alpha",18749.4498275591
"1985","alpha",15324.0290110611
"1986","alpha",12633.8277075552
"1987","beta",14589.6255327524
"1988","beta",21656.4474943105
"1989","duct",22965.7189842911
"1990","mesenchymal",34466.5510610719
"1991","duct",17560.4386120243
"1992","alpha",35739.1151880636
"1993","alpha",15757.4496656838
"1994","duct",27629.197402862
"1995","alpha",14254.9048389034
"1996","alpha",28312.8333692011
"1997","alpha",15065.7133801267
"1998","beta",23738.461701758
"1999","alpha",25250.4113650292
"2000","alpha",26448.7997213907
"2001","mesenchymal",24749.568601049
"2002","alpha",18488.6775810374
"2003","pp",6172.73637341724
"2004","alpha",14156.0009128716
"2005","delta",12084.5737258739
"2006","duct",27374.3555006805
"2007","acinar",40224.5567585817
"2008","mesenchymal",45960.9209276429
"2009","duct",27298.7979080228
"2010","delta",19959.918196298
"2011","alpha",11235.1584819013
"2012","alpha",11197.6324138901
"2013","delta",14560.5257908843
"2014","alpha",16893.5390099158
"2015","acinar",31925.969353832
"2016","mesenchymal",18015.7531321208
"2017","delta",14849.9446190987
"2018","alpha",19686.587812893
"2019","alpha",18723.5636384597
"2020","alpha",16600.0375000979
"2021","alpha",27725.5820393802
"2022","alpha",18642.2831224436
"2023","mesenchymal",36236.1155957053
"2024","alpha",24632.640995588
"2025","acinar",13752.239559436
"2026","delta",16108.5326136191
"2027","alpha",11279.7574171179
"2028","alpha",6869.40796455006
"2029","mesenchymal",14056.8147537839
"2030","beta",11414.1489771558
"2031","duct",20502.338835917
"2032","delta",16188.2505286055
"2033","beta",18671.9895391416
"2034","beta",12635.101816611
"2035","alpha",12393.1023631613
"2036","mesenchymal",51639.4170299606
"2037","beta",12996.6021218086
"2038","alpha",19486.9912407837
"2039","duct",13650.0716153551
"2040","beta",21051.311125426
"2041","alpha",17179.9759583763
"2042","mesenchymal",32874.8120629395
"2043","alpha",12618.4224883916
"2044","duct",15080.4272031123
"2045","alpha",19467.7111580364
"2046","mesenchymal",27511.8259991153
"2047","mesenchymal",57476.3132206686
"2048","alpha",15923.8457640406
"2049","alpha",15519.9924240441
"2050","alpha",20444.5633760869
"2051","alpha",35185.9344875026
"2052","duct",24406.5804725354
"2053","delta",23556.9286871214
"2054","alpha",15101.7761983093
"2055","acinar",25867.3238661298
"2056","beta",14389.8303595273
"2057","alpha",20591.695312788
"2058","acinar",22525.0199338858
"2059","alpha",20262.7412910052
"2060","alpha",26842.5963098188
"2061","acinar",31034.3528919093
"2062","alpha",14595.2719879679
"2063","alpha",22891.7348681943
"2064","beta",20064.0731460208
"2065","duct",44936.1676484706
"2066","delta",34001.1278687883
"2067","alpha",19786.4184794283
"2068","alpha",16632.0979821807
"2069","duct",25358.1325348485
"2070","delta",27798.2419042767
"2071","beta",25147.6927022482
"2072","alpha",29332.0956594211
"2073","beta",23897.125763048
"2074","duct",20219.5497927257
"2075","delta",12808.169079202
"2076","beta",18562.8928633848
"2077","beta",18404.5218855196
"2078","duct",17921.3958778686
"2079","alpha",24723.0029872387
"2080","alpha",16672.6649081659
"2081","duct",29760.807318897
"2082","alpha",6822.51039453681
"2083","alpha",23351.9156351969
"2084","alpha",45150.9621615874
"2085","beta",19139.9734859628
"2086","duct",26828.567674092
"2087","alpha",20012.0381567756
"2088","alpha",16075.2993418826
"2089","alpha",35995.9591345691
"2090","alpha",18959.2932054554
"2091","alpha",17901.6616211209
"2092","beta",23572.5275466021
"2093","duct",28607.5288814463
"2094","duct",18275.2272856525
"2095","beta",21377.741218117
"2096","acinar",53782.3746488715
"2097","alpha",16666.7131216013
"2098","alpha",24233.771438192
"2099","beta",12581.510576437
"2100","mesenchymal",67574.9150965948
"2101","alpha",23748.3475335417
"2102","duct",24979.4670719366
"2103","alpha",25497.609373886
"2104","alpha",22261.2769448432
"2105","alpha",29205.9364363752
"2106","pp",9054.97071596757
"2107","alpha",22199.3964420104
"2108","delta",20710.8883264976
"2109","mesenchymal",17276.0431820715
"2110","beta",22965.1949248028
"2111","acinar",65246.0820195829
"2112","alpha",30777.1494113627
"2113","beta",25214.3164187916
"2114","beta",24510.2790615853
"2115","alpha",15476.7527830292
"2116","alpha",27017.8767646049
"2117","delta",17910.3617863609
"2118","alpha",18260.6918479
"2119","alpha",29247.1601650448
"2120","alpha",12796.6590371542
"2121","acinar",82665.6586284179
"2122","alpha",10945.5180886652
"2123","delta",27783.6106011609
"2124","alpha",20350.013538749
"2125","duct",50030.3703681632
"2126","alpha",21624.5164417983
"2127","duct",14087.2508543726
"2128","alpha",28233.6115472048
"2129","acinar",43001.6954641099
"2130","beta",23771.4013992798
"2131","beta",11077.8541494137
"2132","delta",27359.5781905392
"2133","acinar",11860.2008905773
"2134","alpha",13404.0306859671
"2135","alpha",13272.9667102636
"2136","acinar",22494.1633509236
"2137","delta",12697.1639204218
"2138","mesenchymal",29185.9777260634
"2139","delta",16562.6471409823
"2140","delta",13493.5427484589
"2141","mesenchymal",35571.5948005091
"2142","duct",36437.6951540845
"2143","alpha",7264.39046703486
"2144","mesenchymal",33074.7021636805
"2145","acinar",35880.2415058511
"2146","alpha",17623.1119308206
"2147","alpha",53822.7461794095
"2148","alpha",29549.9648323023
"2149","alpha",15255.3383619315
"2150","beta",20047.6022010836
"2151","alpha",22618.9529277426
"2152","duct",7855.73555023684
"2153","alpha",34606.4649034363
"2154","beta",11040.4568894108
"2155","alpha",32940.9278280964
"2156","duct",30241.2779336776
"2157","alpha",35199.6471973902
"2158","delta",30185.561423719
"2159","beta",29560.4969958864
"2160","delta",22734.3497178468
"2161","beta",27252.2725180041
"2162","alpha",33585.9839625892
"2163","alpha",9468.99630148318
"2164","alpha",17469.2560309886
"2165","beta",19754.3847998921
"2166","beta",20354.9435231417
"2167","alpha",27988.9068220172
"2168","alpha",28014.7075684237
"2169","alpha",30205.5735641083
"2170","alpha",15687.1161278901
"2171","alpha",37223.9868038564
"2172","beta",15611.9368512089
"2173","alpha",32252.720745084
"2174","mesenchymal",21802.6195172198
"2175","alpha",23190.843685837
"2176","duct",23053.225255515
"2177","alpha",25071.8994219453
"2178","beta",44996.0806797385
"2179","alpha",23550.2676742363
"2180","alpha",23377.2659441032
"2181","beta",44241.1670216629
"2182","beta",30394.4064412582
"2183","mesenchymal",51871.5264794054
"2184","beta",13069.8381280535
"2185","duct",28240.2227007812
"2186","duct",40478.3951850431
"2187","duct",48496.449411559
"2188","mesenchymal",67410.0713584953
"2189","alpha",23000.4123007005
"2190","duct",12874.7793129499
"2191","delta",18799.0872949463
"2192","endothelial",17130.4837530891
"2193","acinar",81608.1660477802
"2194","alpha",25905.4433059983
"2195","alpha",22830.5980013063
"2196","beta",32114.2682770209
"2197","alpha",22326.7169045459
"2198","alpha",24813.1959996808
"2199","delta",9387.88466176
"2200","duct",18502.0355103369
"2201","alpha",19659.1630320301
"2202","beta",17434.7874593171
"2203","alpha",21768.448450315
"2204","duct",12637.671771536
"2205","delta",13114.7248254343
"2206","alpha",21339.5006403535
"2207","alpha",25144.4857228368
"2208","beta",10457.4327517429
"2209","alpha",16781.9519123139
"2210","beta",20907.3163514237
"2211","mesenchymal",34665.0509152483
"2212","beta",11707.7442753841
"2213","beta",18421.1395313473
"2214","mesenchymal",28666.9060893827
"2215","alpha",25212.0263096031
"2216","alpha",20027.5003789377
"2217","duct",7842.81293748588
"2218","beta",6131.0637107791
"2219","alpha",21010.6098369438
"2220","mesenchymal",27094.4669424418
"2221","alpha",17812.5593900084
"2222","beta",6875.43437178523
"2223","alpha",12887.4505643294
"2224","duct",42374.8062696707
"2225","alpha",16554.8787404148
"2226","delta",25034.2959717517
"2227","acinar",27056.2232968844
"2228","endothelial",13634.722935367
"2229","beta",12513.187718367
"2230","acinar",11323.4923150341
"2231","acinar",31656.8808914914
"2232","duct",25535.050138431
"2233","alpha",15296.8432273047
"2234","delta",10146.1821287224
"2235","alpha",29179.3456064707
"2236","alpha",26871.0016195447
"2237","beta",30805.8010681276
"2238","beta",11170.1566385161
"2239","alpha",19986.8631664426
"2240","alpha",8518.34984603845
"2241","beta",24106.5122008113
"2242","mesenchymal",57957.2221942685
"2243","beta",17671.1452439826
"2244","alpha",32228.689764184
"2245","alpha",36402.976087818
"2246","alpha",23718.7662485384
"2247","delta",26263.3978354568
"2248","mesenchymal",42891.9833510359
"2249","beta",35090.0392635988
"2250","mesenchymal",21187.1409232728
"2251","beta",21992.8812767461
"2252","acinar",54564.6882752875
"2253","alpha",36240.9639205285
"2254","acinar",46524.7677906643
"2255","delta",43653.6367524378
"2256","alpha",43671.3469654813
"2257","beta",36564.1884178722
"2258","acinar",112163.937652229
"2259","alpha",20882.2585755543
"2260","alpha",28865.6147839372
"2261","beta",24281.0338756796
"2262","beta",16300.6005148233
"2263","alpha",20442.4890205731
"2264","alpha",19325.3130961719
"2265","alpha",30136.0159979441
"2266","alpha",24978.7273645286
"2267","alpha",10329.6838947456
"2268","beta",25978.6817329163
"2269","acinar",42944.7027489881
"2270","duct",21480.5483958621
"2271","alpha",20084.4248471864
"2272","acinar",56627.8347215988
"2273","beta",29353.915417841
"2274","delta",35927.0878217068
"2275","endothelial",30827.9078194852
"2276","delta",20968.8172217026
"2277","alpha",22600.8582763262
"2278","alpha",15725.6616958556
"2279","mesenchymal",45226.1173132818
"2280","alpha",27990.424091989
"2281","duct",36310.9660929452
"2282","mesenchymal",51185.2569929959
